RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
111,17130144,Allen,659,USA,Male,63,10,146033.46,1,0,0,177098.25,0
112,14545583,Allen,520,UK,Male,34,9,20705.71,3,0,0,64913.61,0
113,64079037,Lewis,805,Italy,Female,33,2,137973.98,3,1,0,59489.39,0
114,64474455,Morgan,357,Italy,Male,66,4,137456.85,4,0,0,63366.53,0
115,51542436,Cooper,759,UK,Male,73,0,8615.37,2,1,1,127631.32,1
116,56626914,Walker,427,Brazil,Male,26,0,154161.97,3,1,0,73799.51,1
117,63933927,Richardson,385,Australia,Female,20,12,221308.1,1,1,1,116798.87,0
118,62453338,Walker,403,Canada,Female,39,8,135675.65,4,1,1,103567.29,0
119,24881728,Ruiz,442,Italy,Female,48,3,193807.66,1,1,1,210284.11,0
120,44045666,Rivera,504,Australia,Male,31,8,159726.29,2,0,1,66479.07,0
121,22722094,Long,337,Brazil,Female,20,6,235553.63,4,0,0,86932.7,0
122,32178434,Kim,662,Canada,Male,55,9,154336.58,3,0,0,238809.85,1
123,56321408,Phillips,608,Italy,Female,40,7,99482.7,1,1,1,72488.94,0
124,22796932,Martinez,351,USA,Male,38,10,248270.63,1,1,1,202270.5,0
125,84023414,Mendoza,300,Italy,Male,68,8,20286.42,3,1,0,48270.36,0
126,36063245,Kelly,310,Canada,Female,41,0,86836.87,3,0,1,152879.48,0
127,49443226,Green,513,Australia,Female,49,6,177445.33,2,0,1,36616.55,0
128,83619289,Patel,855,USA,Male,62,7,256807.96,2,0,1,111348.42,0
129,17887739,Kim,817,Canada,Male,22,13,21642.55,3,0,0,239573.6,0
130,70736972,Williams,714,Brazil,Male,50,1,28815.88,4,0,0,166018.81,0
131,71071026,Collins,307,Canada,Male,61,13,84715.51,3,0,1,63799.74,0
132,10769598,Phillips,304,Italy,Male,64,9,103371.59,3,0,0,205079.35,0
133,99178975,King,661,Brazil,Female,74,8,253061.47,5,0,0,168805.0,0
134,59007334,Carter,411,UK,Male,36,11,287670.97,4,0,0,233013.38,0
135,38433648,Ramirez,572,UK,Female,51,0,5168.61,4,0,0,68758.17,0
136,17971379,Chavez,721,USA,Female,20,11,4606.83,2,1,0,43498.59,1
137,13331068,Gray,564,Canada,Female,56,13,259443.1,2,1,0,164204.16,0
138,46810847,Myers,757,Australia,Female,45,14,40685.09,2,1,1,229693.77,0
139,44428803,Gonzalez,511,USA,Male,28,2,101800.85,1,0,1,197774.14,0
140,15654237,Long,377,Brazil,Female,77,12,82564.06,4,0,0,111613.77,0
141,71553124,Ross,520,USA,Female,27,10,84560.46,5,0,0,116450.85,1
142,55816038,Long,668,Italy,Female,57,8,98577.57,2,0,0,93159.83,0
143,27750764,Morgan,646,Brazil,Male,19,0,100813.86,2,1,0,230572.44,0
144,46898446,Gutierrez,324,Australia,Female,63,3,186046.75,2,0,1,205737.12,1
145,33841962,Stewart,719,Canada,Female,62,9,188635.23,2,0,1,77838.63,0
146,76834972,Reyes,653,Brazil,Female,56,5,156867.6,2,1,0,90363.14,0
147,53156515,Peterson,716,Canada,Male,44,5,257562.47,1,1,0,188848.73,0
148,32993420,White,814,Canada,Male,70,13,253701.55,5,0,1,114676.44,0
149,72190751,Morales,514,USA,Male,26,3,65165.22,4,0,1,158283.97,0
150,31970758,Bennett,411,Italy,Female,56,9,163091.87,5,1,0,51534.3,0
151,46513466,Stewart,858,USA,Male,18,9,235151.13,3,1,1,209250.19,1
152,41288562,Thompson,727,UK,Male,50,14,260062.3,4,1,0,145745.52,1
153,31351509,Robinson,861,UK,Male,55,9,76555.73,2,1,0,209048.0,1
154,33484187,Reyes,515,Canada,Female,74,9,148230.04,3,0,0,182990.78,0
155,71777469,Moore,712,Italy,Male,50,0,157508.19,3,0,0,115815.35,0
156,46093880,Myers,679,Brazil,Female,65,4,209891.5,3,0,0,174932.59,0
157,60441204,Parker,531,Canada,Female,20,13,99077.77,3,1,1,29065.15,0
158,91752859,Evans,557,Brazil,Female,49,4,88035.54,2,0,1,117497.56,0
159,54066131,Miller,555,Canada,Female,30,2,211679.25,3,0,1,117421.06,1
160,85415325,Long,702,USA,Male,38,10,119800.65,5,1,1,113851.36,0
161,45563453,Morgan,723,Canada,Male,21,2,1207.18,2,0,1,42631.43,0
162,44755914,Alvarez,364,Canada,Female,34,3,281353.97,3,1,1,129438.48,0
163,60873983,Bailey,489,Italy,Female,59,2,44893.65,3,1,0,194000.6,0
164,63892568,Ward,472,Italy,Female,21,13,44590.23,5,0,1,90913.67,1
165,33637222,Phillips,860,Brazil,Female,37,14,245509.74,1,0,0,207367.82,0
166,12484413,Brown,526,Italy,Male,76,2,100650.85,1,0,0,152585.42,0
167,80016224,King,880,Canada,Male,29,2,98452.59,5,1,1,185169.55,0
168,49449976,Morgan,687,Italy,Female,43,6,186718.62,1,1,1,225959.4,1
169,99583549,Allen,700,Italy,Male,62,8,17711.6,4,1,0,128325.55,1
170,12235000,Morgan,512,Australia,Male,53,10,71088.52,4,0,1,213556.94,1
171,33685747,Nguyen,352,Australia,Male,33,14,15981.35,4,1,0,47988.4,0
172,47876684,Ross,438,UK,Male,68,12,87452.9,1,1,0,197926.33,0
173,82931048,Sanchez,717,USA,Female,24,0,260979.05,4,1,0,210916.93,0
174,39859174,Smith,442,USA,Male,50,7,272799.76,4,0,0,227299.06,0
175,46102853,Brown,808,Italy,Female,65,9,92831.01,1,1,1,34038.12,0
176,56159303,Hill,785,UK,Male,19,11,56276.01,5,1,0,42487.59,0
177,22195226,Turner,736,UK,Male,50,0,40582.8,2,1,0,20316.22,0
178,57936136,Hughes,842,Brazil,Female,31,8,118325.74,4,0,0,133862.51,1
179,79062973,Allen,592,Australia,Male,37,12,247921.89,1,0,0,60322.72,0
180,24421668,Allen,583,UK,Female,54,7,255799.03,2,0,1,148426.81,0
181,31200096,Bailey,313,Canada,Male,44,14,13778.4,2,1,0,224686.62,0
182,93375337,Martin,571,Brazil,Female,64,5,62768.66,3,0,0,91850.95,0
183,33234510,Thomas,324,Italy,Male,59,5,60951.08,2,0,0,16256.59,0
184,61715898,Lee,621,Canada,Female,38,10,248529.05,4,0,0,224118.71,0
185,55968757,Hall,402,USA,Male,19,9,136887.69,5,1,0,161142.65,0
186,10061087,Hughes,339,Australia,Female,60,6,110518.57,4,0,0,62352.9,1
187,90705119,Gray,534,Canada,Male,33,7,286981.77,3,0,1,177704.63,0
188,76653416,Brooks,388,Italy,Female,36,12,277607.19,2,1,1,163712.71,1
189,95382256,Morris,399,Canada,Female,21,6,132032.01,3,1,1,104328.77,0
190,20274621,Walker,443,Canada,Male,27,14,38499.55,4,0,0,64853.87,0
191,23022704,Adams,381,UK,Female,71,12,51301.05,4,1,1,248220.04,0
192,26816569,Lopez,888,Australia,Female,39,0,33625.18,4,1,1,166109.73,0
193,17654909,Cook,870,USA,Male,29,9,204151.17,5,1,1,15410.72,0
194,47814054,Reed,528,Italy,Male,19,14,166406.13,4,1,1,44514.42,0
195,94302960,Williams,694,Brazil,Male,19,12,166993.34,4,0,1,73142.34,0
196,25421040,Hughes,812,Brazil,Female,58,13,29513.36,2,1,1,206087.24,0
197,34210512,Rodriguez,496,Italy,Female,61,3,237982.49,5,0,0,126542.79,0
198,82073914,Gomez,573,USA,Male,51,14,160671.87,2,0,0,29129.66,0
199,77922032,Thomas,889,Italy,Female,35,3,27290.76,3,1,1,77296.87,0
200,43779713,Mendoza,882,UK,Male,33,12,224139.24,1,0,0,245468.04,0
201,21506305,Cox,861,Brazil,Female,36,8,294389.43,2,1,1,195449.23,0
202,30560091,Williams,671,Brazil,Male,64,14,132354.15,5,0,1,16094.92,1
203,96881845,Ross,379,Canada,Female,42,11,34696.39,2,1,0,212094.53,0
204,17734102,Long,534,UK,Male,47,8,30419.75,1,1,1,60182.95,0
205,15674719,White,586,Brazil,Male,65,2,7763.86,2,0,1,92731.96,0
206,18658144,Reed,871,UK,Male,23,10,231119.44,1,1,0,42821.27,0
207,50163712,Gonzalez,844,UK,Female,44,14,208200.3,5,1,0,17486.07,0
208,99386386,Johnson,736,USA,Female,32,8,175271.79,2,0,0,133442.68,1
209,95447809,Peterson,426,Brazil,Female,48,4,229688.8,5,1,0,82206.76,1
210,98917675,Lee,716,Australia,Male,61,10,299789.3,5,1,1,99639.07,0
211,54165849,Jackson,340,USA,Female,39,5,120554.38,3,1,1,54713.83,0
212,82586911,Ruiz,768,USA,Female,29,14,211743.07,3,0,0,204516.39,0
213,78227907,Campbell,596,UK,Male,27,6,113148.48,2,0,0,55768.72,0
214,88826934,Perez,896,Australia,Male,38,2,105617.37,2,1,1,136565.11,1
215,59905866,Howard,341,USA,Male,64,13,255276.03,5,1,1,125305.05,0
216,91121402,Allen,578,Australia,Male,72,3,172428.94,3,1,1,231135.69,1
217,50657662,Young,758,Brazil,Female,76,4,36183.98,2,0,1,247117.28,0
218,16659908,Murphy,332,UK,Male,48,0,121054.8,2,0,0,227852.76,1
219,41378291,James,575,USA,Female,53,7,238966.3,2,1,1,187379.02,0
220,73020641,Hill,389,Australia,Male,27,10,281999.44,3,0,0,116213.77,0
221,46634821,Wood,823,Italy,Female,75,6,184328.44,2,0,1,45679.81,0
222,29433354,Bailey,459,USA,Male,36,12,118264.11,5,0,0,219424.82,1
223,26887294,Adams,757,USA,Male,40,10,75594.72,2,1,1,183318.69,0
224,83422991,Rodriguez,698,USA,Male,63,11,126607.11,4,0,0,45972.41,0
225,45562619,Harris,390,Australia,Male,27,12,169696.34,1,0,0,35688.48,0
226,45213498,Ruiz,880,Canada,Male,66,1,1325.02,5,1,0,173459.91,0
227,45703247,Long,765,Brazil,Female,71,6,80603.35,2,1,0,227890.84,0
228,50910172,Johnson,519,USA,Female,78,11,201454.78,4,1,0,65254.26,1
229,72744322,Jackson,718,Italy,Female,76,8,201968.89,3,1,1,111818.04,1
230,67805563,Martin,678,Italy,Female,44,4,195902.02,5,1,1,241642.52,0
231,16404003,Castillo,746,UK,Female,60,13,284982.71,5,0,1,237306.91,0
232,81244178,Cooper,445,Canada,Male,67,10,170563.7,2,0,1,179193.84,0
233,61939266,Taylor,532,Canada,Male,19,5,80918.42,3,0,1,126403.63,0
234,43267858,Ruiz,670,Australia,Female,28,15,243483.81,2,1,1,102628.48,0
235,31114003,Ortiz,533,UK,Female,25,4,116813.2,4,0,1,106896.05,0
236,96641503,Sanders,666,Australia,Female,36,0,71787.16,1,1,0,133647.06,1
237,20421958,Wood,780,UK,Female,74,5,167024.71,3,1,0,176606.49,0
238,87809459,Williams,872,Brazil,Female,33,13,86710.33,1,0,1,135061.16,0
239,22984808,Gray,662,Canada,Male,21,13,118848.01,4,1,0,68984.22,0
240,24764960,Gomez,889,Brazil,Female,31,6,207947.27,5,0,0,191979.14,0
241,60402943,Brooks,810,Australia,Male,39,4,298784.43,4,0,0,121432.44,0
242,86241446,Sanchez,394,UK,Female,34,2,193419.48,1,0,0,149682.27,0
243,63777024,Parker,515,Canada,Male,60,15,82943.97,3,0,1,197371.35,0
244,93494666,Jimenez,842,Canada,Female,75,14,27139.66,2,0,1,105243.03,0
245,80721464,Murphy,434,USA,Female,43,5,108590.29,1,0,1,233513.23,0
246,94711896,Davis,382,Australia,Male,52,11,5793.21,3,0,1,134869.72,0
247,89214742,Watson,690,USA,Male,53,11,139426.42,1,0,0,180380.14,0
248,53799966,Patel,346,Canada,Male,70,10,197995.13,5,0,1,192455.4,0
249,20047453,Torres,691,Australia,Female,62,6,153538.79,5,0,0,100596.41,0
250,45581225,Long,684,Australia,Female,66,9,259584.69,2,1,1,75656.91,0
251,44109026,Clark,680,Brazil,Female,47,9,148215.03,5,1,0,231988.9,1
252,52090758,Hall,376,Italy,Female,69,11,138714.02,4,0,0,88670.09,1
253,26037627,Brown,558,UK,Male,38,13,92903.15,2,1,0,40739.15,1
254,90337039,Bennett,698,Italy,Male,37,8,251284.11,1,0,0,131502.67,0
255,30281689,Hughes,399,Italy,Male,59,12,271079.6,4,0,1,208799.99,1
256,67631343,Myers,800,Canada,Male,43,15,293375.62,3,0,1,81276.14,0
257,81450611,Mendoza,682,Brazil,Male,72,6,294362.7,1,1,0,131033.39,0
258,56510960,Foster,491,UK,Male,73,2,294127.09,5,1,1,99962.65,1
259,42797855,Torres,879,Italy,Male,29,0,213587.67,1,1,1,20794.98,1
260,44795514,Myers,644,Italy,Female,25,14,168795.87,5,0,1,47329.91,0
261,15184502,Peterson,309,Australia,Female,52,13,51703.34,4,0,0,202298.53,0
262,33448674,Allen,563,Canada,Male,46,12,230118.95,4,1,0,234612.29,0
263,65223954,Walker,567,Italy,Male,70,15,220464.04,4,1,0,16007.85,0
264,40948143,Diaz,870,UK,Female,59,6,252720.65,2,0,0,217379.91,0
265,22503247,Lopez,494,USA,Male,73,11,138735.32,5,0,0,185110.11,1
266,64006163,Hernandez,861,USA,Female,24,7,267726.44,1,0,0,175944.34,1
267,61910807,Mendoza,706,Canada,Female,79,14,215602.3,1,1,0,116057.52,0
268,64847136,Bailey,595,USA,Male,74,10,51337.6,1,1,0,92920.23,0
269,83150359,Young,396,Australia,Female,78,0,62071.06,2,1,0,111499.47,1
270,40831219,Cruz,761,Australia,Female,27,4,244279.66,2,1,1,156344.23,1
271,33101383,Nguyen,386,UK,Female,56,11,127708.02,5,1,0,237484.94,0
272,27569187,Reyes,376,Brazil,Male,67,11,74703.88,2,0,1,63638.62,0
273,64710375,Bennett,782,Canada,Male,37,12,126772.95,4,0,0,243814.21,1
274,64456147,Ross,445,Canada,Female,45,7,48413.32,1,0,0,69724.59,1
275,88110973,Jackson,410,USA,Male,31,9,267521.0,4,1,1,213755.87,0
276,49501026,Wood,596,Italy,Female,29,6,21461.82,2,1,0,170106.82,0
277,43163773,Parker,725,Italy,Female,25,14,105972.45,1,1,0,190084.6,1
278,21310552,Wilson,633,Brazil,Male,74,1,167078.63,3,1,0,210421.86,0
279,41146082,Allen,822,Italy,Female,24,12,262093.69,4,1,0,17763.22,1
280,31104792,Martinez,882,Brazil,Female,22,12,234464.67,3,0,0,185183.36,0
281,31739356,Richardson,837,UK,Female,18,15,6727.08,5,1,1,248986.83,0
282,21471761,Murphy,461,Canada,Female,64,15,247574.44,4,1,1,131233.0,1
283,29576703,Murphy,729,USA,Female,26,12,191436.02,1,0,1,142342.36,0
284,85092305,Morris,368,UK,Female,61,3,40004.52,1,1,1,39906.73,0
285,82429249,Ortiz,432,Australia,Female,71,5,185243.27,3,1,1,95080.55,0
286,28877237,Price,488,Australia,Male,35,6,245368.27,1,0,1,158939.2,0
287,56918818,Alvarez,872,Australia,Male,60,13,180633.56,4,0,1,43193.28,0
288,33705256,Nelson,578,Brazil,Female,59,6,299744.02,2,1,1,93338.95,1
289,94504547,Richardson,729,Brazil,Male,27,2,152101.03,2,0,1,96757.74,1
290,87633091,Collins,841,Canada,Female,67,11,201939.32,1,0,0,206027.93,1
291,89452960,Phillips,460,Australia,Female,75,7,21112.05,5,0,0,141348.04,0
292,65403796,Long,752,Brazil,Female,18,6,243959.45,4,0,1,145295.48,0
293,33508102,Jackson,469,Brazil,Female,77,3,187230.91,5,1,1,81337.98,1
294,19405634,Lee,356,Italy,Male,37,9,168372.84,3,0,1,88655.3,0
295,15853584,Perez,539,Brazil,Female,75,12,212642.61,1,0,1,121032.29,1
296,34947744,Rodriguez,657,Australia,Female,60,15,168152.93,3,0,0,206971.07,0
297,58491183,Rodriguez,500,UK,Male,46,3,229935.42,5,0,0,89480.87,0
298,47856186,Reed,743,Australia,Male,19,3,175054.68,4,0,1,90551.5,0
299,58673237,Clark,601,Italy,Male,43,4,156016.15,5,1,0,148725.85,1
300,75293686,Taylor,405,Australia,Male,28,13,40505.85,2,1,0,212348.24,0
301,11983509,Baker,400,USA,Male,42,10,141549.23,5,0,0,133413.26,0
302,28298917,Hall,396,Italy,Male,51,1,161470.4,5,0,0,45170.54,1
303,53563237,Davis,328,Canada,Female,76,15,187372.14,5,0,1,230104.82,0
304,87729132,Richardson,805,Australia,Female,58,8,136767.65,5,1,0,125705.37,0
305,87275698,Moore,737,Brazil,Male,18,5,43993.03,4,0,1,196843.59,0
306,83214389,Allen,678,UK,Male,79,11,45108.79,1,0,0,25181.63,0
307,36365210,Smith,372,Australia,Female,72,7,216296.32,4,0,0,211511.72,1
308,68245345,Ramos,553,UK,Male,48,10,198434.17,3,1,0,28709.29,0
309,37180308,Garcia,815,USA,Male,55,0,77849.8,2,0,1,242381.99,0
310,21326237,Green,849,Canada,Male,39,14,133757.28,1,0,0,224252.1,0
311,96343264,Diaz,319,Brazil,Female,19,5,92087.3,2,1,1,77648.56,0
312,71864219,Jones,834,Italy,Male,64,14,54306.86,2,1,0,67530.85,0
313,64434670,Collins,720,Italy,Female,18,5,97849.07,1,0,1,199089.82,0
314,97692768,Richardson,745,Canada,Female,75,7,78806.72,1,1,1,50635.49,0
315,43255876,Moore,435,USA,Female,73,12,24728.29,3,0,1,219048.37,0
316,59114107,Carter,804,USA,Male,41,0,151345.97,4,0,1,22499.52,0
317,25900476,Brooks,600,Australia,Male,67,15,135265.22,1,0,0,168129.43,0
318,50820227,Cook,332,USA,Female,53,4,214382.5,3,0,1,76115.11,0
319,89688895,Chavez,577,Australia,Female,78,14,186091.7,5,0,0,213006.31,0
320,97927856,Turner,432,UK,Male,62,13,103013.45,1,0,0,103608.93,0
321,63059071,Stewart,826,Canada,Female,53,13,148891.26,4,1,1,116682.35,0
322,99595920,Davis,425,UK,Male,64,13,160824.93,5,0,1,49204.67,0
323,22707035,Williams,644,UK,Female,51,2,275264.58,5,1,1,162169.28,0
324,15130397,Harris,316,UK,Male,76,5,294508.3,5,1,1,125604.77,0
325,80560220,Morgan,861,UK,Male,26,8,244662.84,5,0,0,17042.62,0
326,46998516,Diaz,677,Italy,Female,29,9,168631.37,2,0,0,186751.02,0
327,46481541,Flores,359,USA,Female,63,2,278432.05,4,0,1,45096.64,0
328,76385640,Chavez,766,Canada,Male,37,8,53433.82,3,0,1,138642.67,0
329,76880548,Brooks,690,Canada,Female,21,11,208948.82,1,1,1,141683.78,1
330,88384476,Roberts,486,Brazil,Female,32,8,138140.31,3,0,0,85355.5,1
331,52058334,Patel,797,UK,Female,21,14,43424.68,2,0,0,68729.31,1
332,59742523,Allen,899,Canada,Male,22,0,22563.0,5,1,1,88167.23,0
333,49769056,Moore,660,Australia,Female,27,1,144222.55,1,0,0,108532.07,0
334,65174259,Cruz,748,Canada,Female,61,10,71690.76,4,0,0,234554.59,0
